,condition,date,price_log,bedrooms,bathrooms,waterfront,sqft_living,floors,zipcode,grade_int,yr_built
71,Good,2015-01-05,12.691580461311874,3,2.0,0.0,1260,1.0,98034,7,1972
72,Very Good,2014-06-10,13.255144488638146,4,2.0,0.0,2750,1.5,98125,7,1916
73,Average,2014-07-10,12.793859310432293,4,2.5,0.0,2380,2.0,98038,8,2005
74,Very Good,2015-03-16,12.762827201184564,3,1.75,0.0,1790,1.0,98042,7,1965
75,Good,2014-11-05,13.632188500836737,4,4.0,0.0,3430,2.0,98075,10,1986
76,Average,2014-10-13,12.84792653170257,4,1.75,0.0,1760,1.0,98008,7,1956
77,Average,2015-04-20,13.081541382884074,3,1.0,0.0,1040,1.0,98116,7,1941
78,Good,2014-06-09,12.92391243868049,3,1.0,0.0,1410,1.0,98133,7,1956
79,Average,2015-03-23,13.487006490992238,4,2.5,0.0,3450,2.0,98010,10,2002
80,Average,2014-12-02,12.873902018105829,3,2.5,0.0,2350,2.0,98038,8,2003
81,Average,2014-12-22,12.793859310432293,4,2.5,0.0,1900,2.0,98038,7,1992
82,Average,2014-10-28,12.779873068457553,2,1.0,0.0,2020,1.0,98118,7,1948
83,Average,2015-01-28,12.782686009834167,3,1.5,0.0,1680,1.0,98059,8,1964
84,Average,2014-06-02,12.66032791780777,3,1.0,0.0,960,1.0,98125,6,1952
85,Average,2014-11-14,13.753635154246187,3,1.5,0.0,2140,2.0,98119,9,1925
86,Very Good,2014-11-03,12.628067055589549,5,2.25,0.0,2660,1.5,98092,7,1961
87,Average,2014-06-18,13.041153321978786,3,3.25,0.0,2770,2.0,98056,9,2006
88,Good,2014-05-19,12.2783933071098,2,2.25,0.0,1610,2.0,98056,7,1979
89,Average,2014-09-04,12.721885810807203,2,1.75,0.0,1030,2.0,98136,7,2006
90,Average,2014-05-22,12.402872221504781,4,2.5,0.0,1980,2.0,98023,7,1988
91,Good,2015-03-11,13.9108207377686,5,2.75,0.0,3520,2.0,98199,10,2001
92,Average,2015-02-26,11.938193200374572,3,1.0,0.0,1200,1.0,98023,7,1962
93,Average,2014-07-25,12.971540487669746,3,1.5,0.0,1580,1.0,98117,8,1939
94,Average,2014-12-23,13.458835614025542,3,1.5,0.0,1580,1.0,98117,8,1939
95,Average,2014-09-08,13.715690222682063,4,2.5,0.0,3300,1.0,98040,7,1946
96,Average,2015-03-30,12.419165860990882,3,1.75,0.0,1960,1.0,98032,7,1967
97,Good,2014-09-12,12.201060103706629,4,1.5,0.0,1160,1.0,98023,7,1975
98,Very Good,2014-07-11,12.65714826489039,3,1.75,0.0,1810,1.0,98038,7,1980
99,Average,2014-05-16,12.988831984779805,3,2.5,0.0,2320,2.0,98045,9,1992
100,Very Good,2014-06-11,13.653967622617456,3,2.5,0.0,2070,1.5,98102,9,1910
101,Good,2014-10-27,13.226723392728571,3,2.0,0.0,1980,1.5,98117,7,1929
102,Good,2014-12-12,13.458764182902971,3,2.25,0.0,2190,2.0,98077,8,1983
103,Average,2014-10-07,13.901688254205327,3,2.5,0.0,2920,2.0,98004,8,1950
104,Average,2014-09-24,12.577636201962656,3,1.0,0.0,1210,1.0,98058,7,1954
105,Good,2015-04-02,12.834681304952548,3,2.5,0.0,2340,1.0,98058,8,1978
106,Good,2014-05-23,13.038981768465277,3,1.0,0.0,1670,1.5,98117,7,1939
107,Good,2014-07-23,12.146853285870202,2,1.75,0.0,1240,1.0,98198,8,1985
108,Good,2015-03-05,13.42984807715229,4,2.5,0.0,3140,2.0,98077,10,1991
109,Good,2014-08-27,13.060487973686241,5,1.75,0.0,2030,2.0,98052,7,1942
110,Average,2014-07-25,13.30092788532057,4,2.5,0.0,2310,2.0,98027,8,1984
111,Very Good,2015-03-04,13.253391639810733,3,1.75,0.0,1260,1.0,98103,6,1905
112,Good,2014-09-16,12.515393893085436,3,1.75,0.0,1540,1.0,98038,7,1980
113,Average,2014-11-24,12.706696406811568,3,1.75,0.0,2080,1.0,98108,7,1971
114,Average,2014-10-28,13.081541382884074,4,2.5,0.0,3230,2.0,98001,9,2001
115,Average,2014-11-21,13.51508091268999,3,3.5,0.0,4380,2.0,98117,8,1900
116,Average,2014-06-26,13.158695306651719,3,3.5,0.0,1590,3.0,98103,8,2010
117,Good,2014-06-23,12.232836282799388,2,1.0,0.0,880,1.0,98178,6,1945
118,Average,2015-01-08,12.054086288532291,4,2.0,0.0,1570,1.0,98168,6,1950
119,Good,2015-05-11,13.190022025878143,4,1.0,0.0,1610,1.5,98144,7,1925
120,Average,2015-01-02,13.399995114002609,3,2.5,0.0,2400,1.0,98177,8,1964
121,Average,2014-11-19,12.877740794412995,3,2.0,0.0,1450,1.0,98034,7,1987
122,Average,2015-04-06,12.886641043883259,2,1.0,0.0,770,1.0,98117,6,1953
123,Very Good,2014-11-04,13.005829561148378,4,1.75,0.0,2100,1.5,98118,7,1924
124,Average,2014-06-18,13.554145793829866,3,2.25,0.0,2910,2.0,98052,9,1990
125,Average,2015-03-02,14.187074114396758,4,2.75,0.0,2750,1.5,98004,8,1914
126,Average,2014-07-17,13.005829561148378,3,2.25,0.0,2100,1.0,98178,8,1967
127,Average,2014-07-17,12.468436909997665,4,2.25,0.0,2160,1.0,98023,8,1978
128,Very Good,2014-06-13,13.620103761621664,5,3.5,0.0,2320,2.0,98103,7,1926
129,Average,2015-04-06,12.971540487669746,4,2.5,0.0,2070,2.0,98065,7,2004
130,Good,2015-01-05,12.26434155365415,3,1.75,0.0,1060,1.0,98092,7,1986
131,Average,2015-04-28,13.400752402944518,4,2.25,0.0,2010,1.0,98027,8,1986
132,Average,2014-06-12,13.572164299332545,3,3.5,0.0,3950,1.5,98052,9,1989
133,Average,2014-05-12,13.024190303426474,3,2.5,0.0,2010,2.0,98029,8,2014
134,Average,2015-01-26,13.422467969854667,4,3.5,0.0,2140,3.0,98107,9,2005
135,Good,2014-08-13,12.201060103706629,3,1.75,0.0,1320,1.0,98003,7,1956
136,Average,2014-08-05,12.301382825334498,4,1.75,0.0,2020,1.0,98003,7,1968
137,Good,2014-05-29,13.021437458814368,4,2.25,0.0,2590,1.0,98028,8,1968
138,Average,2014-07-07,12.854483932248728,2,1.0,0.0,1190,1.0,98125,6,1981
139,Average,2014-05-07,13.161487932088379,3,2.25,0.0,1170,3.0,98107,8,2014
140,Average,2014-06-27,13.407542319637992,2,1.0,0.0,1110,1.0,98119,7,1925
141,Good,2014-07-08,13.17628321939376,5,2.5,0.0,2820,1.0,98006,8,1968
142,Good,2015-05-08,12.230765258120545,3,1.0,0.0,1610,1.0,98058,7,1962
143,Good,2015-04-15,12.948009990259552,3,1.0,0.0,1060,1.0,98133,7,1923
144,Good,2015-02-27,13.122363377404328,4,2.25,0.0,2030,1.0,98006,8,1961
145,Good,2014-12-03,13.733758056092014,4,2.5,0.0,3670,2.0,98077,9,1994
146,Average,2014-06-25,13.698976741708323,4,1.0,0.0,2550,2.0,98109,8,1905
147,Average,2014-08-06,12.971540487669746,2,2.5,0.0,2420,2.0,98027,7,2007
148,Good,2014-10-30,12.460714863903755,5,2.0,0.0,2260,1.0,98032,8,1960
149,Average,2014-11-04,13.144124869185841,3,1.0,0.0,1430,1.0,98103,7,1947
150,Average,2014-08-20,13.184718266151094,3,2.0,0.0,1360,2.0,98103,8,1990
151,Average,2015-04-09,13.235692062711331,3,1.0,0.0,1110,1.5,98107,7,1947
152,Good,2015-03-31,12.55302548257067,3,1.0,0.0,1250,1.0,98003,7,1954
153,Average,2015-04-01,14.626440774180603,4,3.25,0.0,5180,2.0,98006,12,2006
154,Average,2014-05-16,12.765688433465597,1,1.0,0.0,700,1.0,98115,7,1942
155,Good,2014-07-28,12.2783933071098,3,1.0,0.0,1180,1.0,98058,7,1967
156,Average,2014-11-20,13.38472764187182,5,3.5,0.0,3960,2.0,98056,9,1996
157,Average,2014-08-07,12.676076274775909,4,2.75,0.0,2640,1.0,98023,8,1967
158,Average,2014-11-13,12.417143615610113,3,2.0,0.0,1270,1.5,98022,7,1916
159,Good,2014-10-03,12.676076274775909,4,1.75,0.0,1760,1.0,98059,8,1968
160,Average,2014-05-07,12.449018824140563,5,2.25,0.0,2060,1.0,98146,7,1962
161,Average,2015-03-09,12.989974189358584,3,1.75,0.0,1780,1.0,98034,7,1962
162,Average,2015-03-04,13.710150042306449,3,2.5,0.0,3400,2.0,98075,10,2000
163,Average,2014-06-20,12.996800154428984,3,2.75,0.0,1910,1.0,98034,7,1979
164,Good,2014-08-12,12.948009990259552,3,2.0,0.0,2020,1.0,98027,7,1975
165,Average,2014-12-08,12.821258284620408,3,1.75,0.0,1580,1.0,98034,7,1976
166,Very Good,2015-02-19,12.505992035646432,2,1.75,0.0,1340,1.0,98198,5,1949
167,Average,2015-03-24,13.601202855312463,4,2.5,0.0,2680,2.0,98006,9,1999
168,Good,2014-06-05,13.389332408258568,3,2.5,0.0,2680,1.0,98034,8,1979
169,Very Good,2014-06-11,12.82530414313995,3,2.0,0.0,1370,1.0,98133,7,1964
170,Average,2015-03-16,12.556729517143344,3,1.75,0.0,1560,1.0,98166,7,1954
171,Good,2015-01-02,12.513557345278134,3,1.75,0.0,2160,1.0,98023,7,1978
172,Average,2014-05-02,12.65395846952229,3,1.5,0.0,1340,1.5,98133,7,1955
173,Average,2015-01-16,13.729407858910863,4,2.5,0.0,3880,2.0,98033,10,1984
174,Good,2014-09-29,13.419500608626866,4,2.25,0.0,2590,2.0,98006,8,1980
175,Average,2015-02-10,12.959844447906553,3,2.5,0.0,1120,2.0,98122,8,2008
176,Average,2014-07-09,12.899094818276968,5,2.75,0.0,1970,1.0,98144,7,1986
177,Average,2014-05-30,12.86099861326992,3,1.0,0.0,1220,1.0,98122,6,1901
178,Good,2014-11-17,12.505992035646432,3,1.5,0.0,1950,1.0,98022,7,1975
179,Average,2015-01-07,12.706847933442663,2,1.0,0.0,1350,1.0,98177,7,1949
180,Average,2014-07-25,12.468436909997665,3,2.5,0.0,1670,2.0,98030,7,1988
181,Good,2015-04-14,13.060487973686241,4,3.0,0.0,2380,1.5,98126,7,1925
182,Very Good,2014-06-13,13.286181462633724,4,3.0,0.0,2440,2.0,98034,7,1961
183,Average,2014-07-23,12.004568269319446,2,1.5,0.0,1050,2.0,98038,7,1996
184,Average,2014-09-05,13.635187003832993,4,2.75,0.0,3130,2.0,98052,9,1993
185,Good,2014-11-21,13.9108207377686,5,3.0,0.0,4090,1.0,98033,10,1986
186,Good,2015-04-15,12.502466658583977,4,1.75,0.0,1490,1.0,98023,8,1969
187,Average,2014-05-05,13.235692062711331,3,2.5,0.0,1900,2.0,98074,8,1987
188,Good,2015-04-18,13.329377546788654,4,1.0,0.0,1330,1.5,98103,6,1901
189,Average,2014-12-05,13.27968844210788,3,2.25,0.0,2230,1.0,98052,8,1975
190,Average,2014-08-18,12.628067055589549,3,1.75,0.0,1650,1.0,98034,7,1977
191,Average,2014-11-05,12.0254496453718,3,1.0,0.0,1190,1.0,98058,6,1959
192,Good,2014-09-12,13.591116224748411,3,2.5,0.0,2140,1.0,98040,8,1959
193,Good,2014-06-25,12.89921982609012,3,2.5,0.0,2180,1.0,98133,7,1962
194,Average,2014-12-01,12.345834587905333,3,1.0,0.0,1060,1.0,98155,7,1948
195,Average,2014-05-15,12.456376007299998,3,2.5,0.0,1690,2.0,98023,8,2003
196,Very Good,2014-11-11,12.955127458028414,4,2.0,0.0,1970,1.5,98108,7,1920
197,Average,2014-07-23,13.049792684569493,3,2.5,0.0,2150,2.0,98126,8,2007
198,Average,2015-01-13,12.994530005894443,3,2.5,0.0,1910,2.0,98024,7,1997
199,Good,2014-10-14,12.86099861326992,3,1.75,0.0,1350,1.0,98038,7,1969
200,Good,2015-03-11,12.254862809699606,3,1.0,0.0,860,1.0,98056,6,1943
201,Average,2014-11-12,12.601487417784837,3,2.5,0.0,1940,2.0,98042,8,1994
202,Average,2014-07-16,13.060487973686241,3,1.0,0.0,1010,1.0,98107,7,1952
203,Good,2014-08-04,12.330500223905226,3,1.5,0.0,1300,1.0,98023,7,1976
204,Good,2015-03-03,12.521795378137476,3,1.0,0.0,910,1.0,98059,6,1962
205,Good,2014-08-04,13.641157170819497,4,1.75,0.0,2480,1.0,98040,9,1966
206,Average,2014-09-19,13.426755063419057,3,2.5,0.0,2440,2.0,98052,8,2010
207,Average,2015-02-05,12.959844447906553,3,1.0,0.0,1010,1.0,98116,7,1915
208,Average,2014-11-23,12.102100055147195,2,0.75,0.0,900,1.0,98166,6,1941
209,Average,2014-07-17,13.047639831208393,6,3.0,0.0,2300,2.0,98133,7,1920
210,Average,2015-04-22,12.676076274775909,4,2.25,0.0,1550,2.0,98038,8,1993
211,Average,2014-07-17,13.346313003752748,3,2.25,0.0,1270,2.0,98105,8,2014
212,Average,2014-05-15,13.292106151991423,4,2.5,0.0,2240,1.0,98074,9,1983
213,Average,2015-01-14,13.049792684569493,3,2.5,0.0,2714,2.0,98001,9,2005
214,Average,2014-05-27,13.075271769870477,4,2.75,0.0,1720,2.0,98118,8,1978
215,Average,2015-01-15,12.542544882151386,2,1.0,0.0,850,1.0,98168,6,1923
216,Average,2015-02-21,14.227620208791107,5,3.0,0.0,3300,1.0,98040,9,1957
217,Average,2014-07-03,13.007710936319127,3,2.5,0.0,2250,2.0,98146,8,2000
218,Average,2014-08-28,13.883169206438088,2,2.25,0.0,3900,1.0,98144,8,1947
219,Good,2014-10-23,13.054084536651034,2,1.5,0.0,1320,1.0,98177,8,1947
220,Average,2014-08-22,13.438632906708023,4,2.5,0.0,2760,2.0,98075,10,1999
221,Average,2014-06-05,12.54236629477704,3,2.0,0.0,1750,1.0,98198,7,1961
222,Average,2014-09-04,13.1749558275235,4,2.25,0.0,2330,2.0,98011,8,1987
223,Good,2014-09-18,12.691580461311874,3,2.25,0.0,2220,1.0,98030,8,1966
224,Average,2014-09-03,12.70076888736628,3,2.25,0.0,2020,2.0,98038,7,1994
225,Very Good,2014-06-04,12.873902018105829,3,2.25,0.0,1250,1.0,98146,7,1942
226,Average,2015-03-09,13.081437210791684,2,2.0,0.0,1510,1.0,98053,8,2005
227,Good,2014-05-29,12.487296407920908,4,2.25,0.0,1720,1.0,98023,7,1978
228,Good,2015-01-15,12.367340793126296,3,1.0,0.0,1430,1.0,98031,7,1961
229,Average,2015-03-03,13.15483056754183,3,2.5,0.0,1480,2.0,98053,7,2004
230,Average,2015-04-13,13.39239051461739,2,1.75,1.0,1450,2.0,98166,7,1915
231,Very Good,2014-06-16,13.122363377404328,4,2.75,0.0,2280,1.0,98059,7,1960
232,Average,2014-11-21,12.66032791780777,6,2.75,0.0,2940,1.0,98023,8,1978
233,Average,2014-11-20,12.269047444691562,2,1.0,0.0,1000,1.0,98024,6,1961
234,Very Good,2014-09-02,13.071070083016778,3,1.5,0.0,2480,1.5,98108,7,1947
235,Average,2014-06-10,13.845069360205818,5,4.0,0.0,3760,2.0,98033,10,1983
236,Very Good,2015-04-09,12.9384405392434,3,2.0,0.0,2220,1.0,98010,7,1976
237,Average,2015-03-20,12.92391243868049,4,1.0,0.0,1970,1.5,98122,7,1904
238,Average,2014-07-01,13.592367006650065,3,3.5,0.0,3830,2.0,98077,10,1993
239,Good,2014-05-29,13.064734264567692,6,2.5,0.0,4410,1.0,98003,9,1965
240,Good,2014-12-08,12.323855681186558,3,1.75,0.0,1430,1.0,98003,7,1968
241,Average,2014-10-01,12.254862809699606,2,1.0,0.0,830,1.0,98126,6,1940
242,Fair,2015-01-27,13.028052697933088,2,1.0,0.0,1430,1.5,98115,7,1925
243,Good,2015-04-27,12.323855681186558,3,1.0,0.0,1300,1.0,98002,6,1954
244,Good,2014-08-26,13.081541382884074,2,1.0,0.0,1030,1.0,98103,7,1918
245,Average,2015-02-12,12.802158113246987,3,2.5,0.0,2740,2.0,98023,9,1990
246,Average,2014-09-29,14.690979295318174,4,2.5,1.0,3650,1.0,98074,9,2000
247,Average,2015-02-26,12.106252310247962,2,1.5,0.0,720,1.0,98106,6,1954
248,Good,2015-03-14,12.429216196844383,4,2.0,0.0,2010,1.0,98002,7,1976
249,Good,2015-04-22,13.083622549087899,3,1.75,0.0,1560,1.0,98103,6,1918
250,Good,2014-09-23,12.468436909997665,3,2.0,0.0,1810,1.0,98032,7,1978
251,Average,2014-05-13,13.028052697933088,4,2.5,0.0,3360,2.0,98058,9,2001
252,Average,2015-04-01,12.936033799212835,3,2.25,0.0,1510,2.0,98045,8,1991
253,Average,2015-04-21,12.764258840656002,3,1.0,0.0,1400,1.0,98118,7,1953
254,Average,2014-09-29,12.409013489526863,3,2.5,0.0,1730,2.0,98030,7,1987
255,Very Good,2014-05-19,13.292106151991423,2,2.0,0.0,1420,1.5,98115,7,1928
256,Good,2014-10-20,12.86099861326992,4,1.75,0.0,2360,1.0,98106,7,1955
257,Good,2015-02-11,12.66032791780777,3,1.75,0.0,1580,1.0,98059,7,1974
258,Average,2014-11-24,12.449018824140563,3,1.0,0.0,1230,1.0,98045,7,1979
259,Average,2014-08-29,13.448785278172041,4,2.5,0.0,2460,2.0,98052,8,2006
260,Average,2014-12-02,13.567049198665774,3,1.0,0.0,1660,1.5,98112,8,1911
261,Good,2014-10-24,12.375815420117268,3,1.75,0.0,1270,1.0,98198,7,1960
262,Average,2014-12-16,13.17115354157376,3,2.25,0.0,2100,2.0,98074,10,1979
263,Average,2015-04-28,12.959844447906553,2,1.0,0.0,770,1.0,98144,5,1930
264,Very Good,2014-10-27,12.820987977820545,1,0.75,1.0,760,1.0,98070,5,1936
265,Good,2014-05-19,12.577636201962656,4,2.5,0.0,1700,2.0,98031,7,1988
266,Average,2014-09-29,12.560244459250788,3,1.0,0.0,1120,1.0,98106,7,1954
267,Average,2014-08-14,12.936033799212835,2,1.0,0.0,1070,1.0,98115,7,1937
268,Average,2015-04-09,12.515393893085436,3,2.5,0.0,2070,1.0,98023,8,1979
269,Average,2015-05-04,14.880221294956703,4,3.25,0.0,5050,1.5,98004,11,1982
270,Good,2014-10-07,14.130321297804308,4,4.75,0.0,5310,2.0,98077,11,1989
271,Good,2015-05-01,12.985397522331171,2,1.0,0.0,1040,1.0,98133,7,1939
272,Good,2014-10-17,12.254862809699606,3,1.0,0.0,1700,1.0,98003,7,1967
273,Average,2014-09-25,12.371587084007746,3,1.0,0.0,1300,1.0,98178,7,1961
274,Average,2014-11-24,12.7098736543592,3,1.75,0.0,1080,1.0,98199,7,1954
275,Average,2015-03-20,12.80765263256463,3,2.5,0.0,2653,2.0,98031,8,2006
276,Very Good,2015-01-27,13.017002861746503,3,2.0,0.0,2290,1.0,98058,8,1960
277,Average,2014-11-13,13.554145793829866,4,2.75,0.0,3820,2.0,98028,9,2014
278,Average,2015-05-05,13.028052697933088,4,2.5,0.0,2210,1.0,98038,8,1997
279,Average,2015-05-05,12.911642346088676,3,1.75,0.0,2390,1.0,98118,6,1908
280,Good,2014-07-03,12.627739132976346,4,1.75,0.0,2600,1.0,98031,7,1969
281,Average,2015-02-27,12.043553716032399,2,1.0,0.0,860,1.0,98178,6,1931
282,Very Good,2015-05-13,14.53335035111459,5,3.0,0.0,3830,2.0,98122,9,1905
283,Average,2014-06-30,13.567049198665774,4,2.5,0.0,3500,2.0,98053,9,2005
284,Good,2015-04-10,12.706847933442663,3,3.0,0.0,2420,1.0,98028,8,1988
285,Average,2014-09-05,12.821258284620408,4,2.5,0.0,2720,2.0,98030,9,1992
286,Average,2014-10-17,13.054084536651034,5,2.25,0.0,2500,1.0,98072,7,1979
287,Average,2015-02-09,12.911642346088676,3,1.75,0.0,1670,1.0,98034,7,1980
288,Average,2014-07-02,13.422467969854667,5,2.25,0.0,2900,1.0,98006,8,1985
289,Good,2014-08-12,13.122363377404328,2,1.0,0.0,1640,1.0,98006,7,1954
290,Good,2014-07-23,12.873899453999977,4,2.5,0.0,1890,2.0,98166,7,1968
291,Good,2015-02-24,13.353475098367715,4,1.75,0.0,2950,1.0,98034,8,1975
292,Average,2014-10-22,12.793859310432293,4,2.5,0.0,2160,2.0,98001,9,1992
293,Average,2014-10-02,13.270783382522602,4,3.0,0.0,3280,2.0,98056,8,1986
294,Very Good,2014-07-09,13.217673557208654,3,2.0,0.0,1970,2.0,98126,8,1929
295,Average,2014-07-10,13.686540176667314,4,2.5,0.0,3360,2.0,98075,10,1994
296,Average,2014-08-22,12.487485104968359,3,2.0,0.0,1320,1.0,98042,7,1993
297,Average,2015-03-04,13.009194679298691,3,2.5,0.0,2650,2.0,98059,8,1990
298,Average,2014-06-02,12.909170156943286,3,1.5,0.0,2030,1.0,98108,7,1963
299,Average,2014-05-29,12.496874845318198,3,1.75,0.0,1590,1.0,98188,7,1957
300,Average,2014-06-24,14.940440154949757,4,5.0,1.0,4550,1.0,98074,10,2002
301,Average,2014-08-11,12.721885810807203,3,2.5,0.0,2440,2.0,98003,8,1998
302,Good,2014-06-19,13.263862939678027,3,2.5,0.0,1940,1.0,98117,7,1948
303,Average,2015-04-01,12.248332006544095,3,2.5,0.0,2040,2.0,98038,8,2006
304,Good,2015-01-15,12.66032791780777,3,2.25,0.0,2200,1.0,98166,7,1964
305,Good,2015-02-17,13.493926933836812,3,1.75,0.0,1920,1.0,98112,8,1913
306,Good,2015-04-03,13.217673557208654,4,2.75,0.0,1800,1.0,98177,8,1965
